"","content","video_name.VIDEO_NAMEEminem - Love The Way You Lie ft. Rihanna","video_name.VIDEO_NAMEKaty Perry - Roar","video_name.VIDEO_NAMELMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","video_name.VIDEO_NAMEPSY - GANGNAM STYLE(?????) M/V","video_name.VIDEO_NAMEShakira - Waka Waka","class","date_missing","year","month","day","hour","minute","second","week","quarter","day_of_year","week_of_year","weekend","hour_sin","hour_cos","weekday_num","weekday_sin","weekday_cos","month_sin","month_cos","author_freq","cpt_ratio","has_url","contains_out","contains_check","contains_please","contains_youtube","contains_subscribe","contains_video","contains_channel","contains_money","contains_follow","word_count"
"269","SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ)",0,0,0,1,0,1,0,2014, 1,20, 6,16,28, 3,1, 20, 4,0, 1.000000e+00, 6.123032e-17,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.725490196,0,0,0,0,0,0,0,0,0,0, 12
"270",":3",0,0,1,0,0,0,0,2015, 5,16, 1,54,31,20,2,136,20,1, 2.588190e-01, 9.659258e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"271","HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen (Thats not me)",0,1,0,0,0,1,0,2014,10,25, 8,13,25,43,4,298,43,1, 8.660254e-01,-5.000000e-01,7,-2.449213e-16, 1.0000000,-8.660254e-01, 5.000000e-01,1,0.287356322,1,0,0,0,0,0,0,0,0,0,  8
"272","me segue ha https://www.facebook.com/marcos.sousa4?fref=ts",0,1,0,0,0,1,0,2014,11, 6,19,50,16,45,4,310,45,0,-9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  4
"273","How can this have 2 billion views when there's only me on the planet? LOL",0,0,0,1,0,0,0,2014,11,14,13,27,52,46,4,318,46,0,-2.588190e-01,-9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.071428571,0,0,0,0,0,0,0,0,0,0, 15
"274","SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!",0,0,1,0,0,1,0,2014,10,29,15,28,53,44,4,302,44,0,-7.071068e-01,-7.071068e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 19
"275","http://hackfbaccountlive.com/?ref=4436607 psy news offcal",0,0,0,1,0,1,0,2014,11, 8,15,27,27,45,4,312,45,1,-7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  4
"276","hey again if you guys wouldnt mind chacking out my rap give it like and il giver 3 of your vids a like",0,0,0,1,0,1,0,2014,11, 6,18,23,21,45,4,310,45,0,-1.000000e+00,-1.836910e-16,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,2,0.000000000,0,1,0,0,0,0,0,0,0,0, 23
"277","My telephone!",0,1,0,0,0,0,0,2014, 9,14,14,17,49,37,3,257,37,1,-5.000000e-01,-8.660254e-01,1, 7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.090909091,0,0,0,0,0,0,0,0,0,0,  2
"278","Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading: I sing, write original music+lyrics & play guitar, bass, drums & keyboards. I&#39;m a 1-man-band. My music is completely independent & 100% listener-supported. If You want to hear it & if You&#39;re willing to help record new album - click on my name/picture. Thank You & enjoy the music - wish You awesome day!",0,0,0,0,1,1,0,2013, 7,18,16,50,26,29,3,199,29,0,-8.660254e-01,-5.000000e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01,-8.660254e-01,2,0.042328042,0,0,0,0,0,0,0,0,0,0, 91
"279","Check out this video on YouTube: Gotta dance and just have a blast every time I hear this song !!!! Just love it!",0,0,1,0,0,1,0,2015, 5,19,23,21,48,20,2,139,21,0,-2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.067415730,0,1,0,0,0,0,1,0,0,0, 23
"280","You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",0,0,0,0,1,1,0,2013,10,21, 5,47,26,42,4,294,43,0, 9.659258e-01, 2.588190e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,4,0.183453237,0,1,1,0,0,0,0,0,1,0, 63
"281","http://shhort.com/a?r=HuPwEH5ab",0,1,0,0,0,1,0,2014, 9, 3,22,46,22,36,3,246,36,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.173913043,1,0,0,0,0,0,0,0,0,0,  1
"282","CHECK OUT THE NEW REMIX !!! CLICK CLICK !!",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.935483871,0,0,0,0,0,0,0,0,0,0,  9
"283","she is beautiful but it is not American!",0,0,0,0,1,0,0,2015, 5,25, 2,38,54,21,2,145,22,0, 5.000000e-01, 8.660254e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.031250000,0,0,0,0,0,0,0,0,0,0,  8
"284","Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views. (dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views) https://www.youtube.com/watch?v=pRpeEdMmmQ0",0,0,0,0,1,1,0,2015, 5,20,14,34,27,20,2,140,21,0,-5.000000e-01,-8.660254e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.041474654,1,0,0,0,1,0,0,0,0,0, 36
"285","http://www.gofundme.com/Helpmypitbull Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!",0,0,1,0,0,1,0,2015, 1, 5,21,33,38, 1,1,  5, 2,0,-7.071068e-01, 7.071068e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.071942446,1,0,0,1,0,0,0,0,0,0, 21
"286","Rap from Belarus, check my channel:)",0,1,0,0,0,1,0,2014,10,13,17, 9,46,41,4,286,42,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.071428571,0,0,1,0,0,0,0,1,0,0,  6
"287","Shakira",0,0,0,0,1,0,0,2013, 9, 5,18, 8, 8,36,3,248,36,0,-1.000000e+00,-1.836910e-16,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.142857143,0,0,0,0,0,0,0,0,0,0,  1
"288","Wow",0,0,0,0,1,0,0,2013,10, 2, 2, 6,20,40,4,275,40,0, 5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.333333333,0,0,0,0,0,0,0,0,0,0,  1
"289","CHECK OUT THE DUBSTEP VERSION",0,0,0,0,1,1,0,2013, 8,21,20, 2,33,34,3,233,34,0,-8.660254e-01, 5.000000e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01,-5.000000e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  5
"290","I still to this day wonder why this video is so popular ?? illuminati confirmed ??",0,0,0,1,0,0,0,2014,11,12, 1,37, 7,46,4,316,46,0, 2.588190e-01, 9.659258e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.015873016,0,0,0,0,0,0,1,0,0,0, 16
"291","Support the fight for your 4th amendment right to privacy in your home and business. Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation. Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too. Senator Rand Paul was up until 1:00 am this morning fighting for our Constitution.",0,0,1,0,0,1,0,2015, 5,23,11,46,55,21,2,143,21,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,2,0.088000000,0,0,0,0,0,0,0,0,0,0,104
"292","I love this song so much",0,0,1,0,0,0,0,2015, 5,28, 3, 8,19,22,2,148,22,0, 7.071068e-01, 7.071068e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.052631579,0,0,0,0,0,0,0,0,0,0,  6
"293","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 1,15,23,43,37, 3,1, 15, 3,0,-2.588190e-01, 9.659258e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"294","give it a like",0,0,1,0,0,1,0,2015, 5,23,16,13,56,21,2,143,21,1,-8.660254e-01,-5.000000e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  4
"295","On 0:02 u can see the camera man on his glasses....",0,0,0,1,0,0,0,2014,11, 7,22,22,29,45,4,311,45,0,-5.000000e-01, 8.660254e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.030303030,0,0,0,0,0,0,0,0,0,0, 11
"296","#2012bitches",0,0,0,1,0,0,0,2014,11, 5, 6,34,19,45,4,309,45,0, 1.000000e+00, 6.123032e-17,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"297","i check back often to help reach 2x10^9 views and I avoid watching Baby",0,0,0,1,0,0,0,2014, 1,20,17, 8,37, 3,1, 20, 4,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.037735849,0,0,1,0,0,0,0,0,0,0, 14
"298","She named the tiger Kitty Purry No, seriously, she did, check the video",0,1,0,0,0,0,0,2014, 8,31, 3,52,29,35,3,243,35,1, 7.071068e-01, 7.071068e-01,1, 7.818315e-01, 0.6234898,-8.660254e-01,-5.000000e-01,1,0.071428571,0,0,1,0,0,0,1,0,0,0, 13
"299","/watch?v=Dtqcftr1Fac JUSTIEN BIEBER CAR 2013. LIKE&SUBSCRIBE",0,0,0,0,1,1,0,2013, 9,21,15,43,40,38,3,264,38,1,-7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.645833333,0,0,0,0,0,0,0,0,0,0,  6
"300","plz check out fablife / welcome to fablife for diys and challenges so plz subscribe thx!",0,0,0,1,0,1,0,2014,11, 2, 0,48,57,44,4,306,44,1, 0.000000e+00, 1.000000e+00,1, 7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.000000000,0,1,1,0,0,1,0,0,0,0, 16
"301","GO TO MY CHANNEL and check out my written songs",0,1,0,0,0,1,0,2014, 9, 7,19,34,29,36,3,250,36,1,-9.659258e-01, 2.588190e-01,1, 7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.342105263,0,1,1,0,0,0,0,0,0,0, 10
"302","BR",1,0,0,0,0,0,0,2015, 5,21,21,54,55,21,2,141,21,0,-7.071068e-01, 7.071068e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  1
"303","I love that you subscribed",0,1,0,0,0,1,0,2014,11, 8,17,22,54,45,4,312,45,1,-9.659258e-01,-2.588190e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.045454545,0,0,0,0,0,0,0,0,0,0,  5
"304","http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE GUYS. GIVE IT 5 STARS. THANKS IN ADVANCE",0,1,0,0,0,1,0,2014, 9,11,19, 9,43,37,3,254,37,0,-9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.635135135,1,0,0,0,0,0,0,0,0,0, 12
"305","Dumb Guy: Why is there 2 billion views when there are 7 million people on earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants",0,0,0,1,0,0,0,2014,11, 7,23,23,54,45,4,311,45,0,-2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.062500000,0,0,0,0,0,0,0,0,0,0, 28
"306","Need money ? check my channel and subscribe,soon will post how to get it )",0,0,1,0,0,1,0,2015, 2,15,21,19,55, 7,1, 46, 7,1,-7.071068e-01, 7.071068e-01,1, 7.818315e-01, 0.6234898, 8.660254e-01, 5.000000e-01,1,0.017543860,0,0,1,0,0,1,0,1,1,0, 15
"307","Best song",1,0,0,0,0,0,0,2015, 5,23, 1,14,31,21,2,143,21,1, 2.588190e-01, 9.659258e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.125000000,0,0,0,0,0,0,0,0,0,0,  2
"308","The projects After Effects, Music, Foto, Web sites and another you can find and buy here http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin",0,0,0,1,0,1,0,2014, 1,19,19,21, 4, 3,1, 19, 3,1,-9.659258e-01, 2.588190e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,0.076923077,1,0,0,0,0,0,0,0,0,0, 17
"309","This looks so fun and it's a good song",0,1,0,0,0,0,0,2014, 9, 9,22,35,25,36,3,252,37,0,-5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.034482759,0,0,0,0,0,0,0,0,0,0,  9
"310","Hi I am from bangladesh",1,0,0,0,0,0,0,2015, 5,21,18,24,19,21,2,141,21,0,-1.000000e+00,-1.836910e-16,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.105263158,0,0,0,0,0,0,0,0,0,0,  5
"311","Such a good song ans Katy sounds great over the melody. Im growing as an artist everyday from my hit song 'CRAZY' which has got my name out there. cant thank my fans more for their support. If you could take a moment? to check it and my music? maybe you'll join me to make my dream come true :) thank you for your time",0,1,0,0,0,1,0,2014,11, 5,22,50,58,45,4,309,45,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,2,0.036885246,0,1,1,0,0,0,0,0,0,0, 65
"312","Still watching this 2 years later?",0,0,0,1,0,0,0,2014,11, 7,18,11, 6,45,4,311,45,0,-1.000000e+00,-1.836910e-16,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.037037037,0,0,0,0,0,0,0,0,0,0,  6
"313","I love katy fashions tiger, care to visit my blog sinar jahitan I also have the tiger collections tqvm",0,1,0,0,0,1,0,2014,10,13, 9, 3,58,41,4,286,42,0, 7.071068e-01,-7.071068e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.024096386,0,0,0,0,0,0,0,0,0,0, 19
"314","THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg",0,0,0,1,0,0,0,2014,11, 8, 4,43,22,45,4,312,45,1, 8.660254e-01, 5.000000e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.859649123,0,0,0,0,0,0,0,0,0,0, 13
"315","Hello to everyone! Please check out my video: /watch?v=2b4WyWpHi8c It takes just 2 minutes, hope I don&#39;t ask too much. If you can&#39;t help me just Like & Share the video please, so more people will see it. Thumbs UP, it would mean so much to me, maybe will make my dream come true. Thanks to everyone, GOD BLESS YOU ALL!",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.116666667,0,1,1,1,0,0,1,0,0,0, 61
"316","Subscribe To M Please Guys",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,3,0.227272727,0,0,0,0,0,0,0,0,0,0,  5
"317","you cant stop the shuffle",0,0,1,0,0,0,0,2015, 5,20, 3,50,29,20,2,140,21,0, 7.071068e-01, 7.071068e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  5
"318","You can not hate eminem and nirvana...trust me",1,0,0,0,0,0,0,2015, 5,19,19,30,58,20,2,139,21,0,-9.659258e-01, 2.588190e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.027777778,0,0,0,0,0,0,0,0,0,0,  8
"319","this very good so I dance with some companions front of the whole school",0,0,1,0,0,0,0,2015, 5,17,19,43,43,20,2,137,20,1,-9.659258e-01, 2.588190e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.016949153,0,0,0,0,0,0,0,0,0,0, 14
"320","Awesome song!,congratulations!!!",1,0,0,0,0,0,0,2015, 5,23, 4,15, 2,21,2,143,21,1, 8.660254e-01, 5.000000e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.038461538,0,0,0,0,0,0,0,0,0,0,  2
"321","Dear person reading this, You are beautiful and loving Have a great day",0,0,0,1,0,0,0,2014,11, 7, 7,54,13,45,4,311,45,0, 9.659258e-01,-2.588190e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.051724138,0,0,0,0,0,0,0,0,0,0, 13
"322","Man she is BEAUTIFUL!",0,1,0,0,0,0,0,2014,10,18, 6,15,45,42,4,291,42,1, 1.000000e+00, 6.123032e-17,7,-2.449213e-16, 1.0000000,-8.660254e-01, 5.000000e-01,1,0.588235294,0,0,0,0,0,0,0,0,0,0,  4
"323","HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 37
"324","PLEASE CHECK OUT MY VIDEO CALLED ""WE LOVE MIND MASTER IT"" THANKS",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.864406780,0,0,0,0,0,0,0,0,0,0, 12
"325","SUBSCRIBE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0,0,1,0,0,1,0,2014,11, 1, 4,23,42,44,4,305,44,1, 8.660254e-01, 5.000000e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  1
"326","Hey Katycats! We are releasing a movie at midnight UK time to celebrate katy's 30th birthday! Be sure to subscribe to our channel and watch the movie!",0,1,0,0,0,1,0,2014,10,24,14,12,49,43,4,297,43,0,-5.000000e-01,-8.660254e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.050847458,0,0,0,0,0,1,0,1,0,0, 27
"327","subscribe to me",0,1,0,0,0,1,0,2014, 9,10,22,58,23,37,3,253,37,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.000000000,0,0,0,0,0,1,0,0,0,0,  3
"328","fave song",0,0,0,0,1,0,0,2015, 5,25,21, 8,10,21,2,145,22,0,-7.071068e-01, 7.071068e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  2
"329","Check out my music niggas",0,0,1,0,0,1,0,2014, 9,10, 3,52,22,37,3,253,37,0, 7.071068e-01, 7.071068e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.047619048,0,1,0,0,0,0,0,0,0,0,  5
"330","Guys lmfaois going to have a reunion on June/27/15 at expo Idaho gardens there going 2 performe live and there&#39;s going 2 be a press conference after to answer questions about were there been its all live on my channel I got publishing rights subscribe to my channel to watch the whole thing if u don&#39;t believe me look it up hope to see all u true fans there and yes it&#39;s free",0,0,1,0,0,1,0,2015, 5,12, 6, 7,23,19,2,132,20,0, 1.000000e+00, 6.123032e-17,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.013698630,0,0,0,0,0,1,0,1,0,0, 73
"331","Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song and video Katy Perry Rocks Wahoo!",0,1,0,0,0,0,0,2014,11, 6, 5,26,28,45,4,310,45,0, 9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.170731707,1,0,0,0,0,0,1,0,0,0, 16
"332","Hi.. Everyone.. If anyone after real online work. I can help u. Earn lots of money. It&#39;s fun. It&#39;s real and affiliated company.. U not think u r working. It&#39;s easy and enjoyable. For more info contact me .. Neeru105@ gmail.com",0,0,0,0,1,1,0,2013, 9, 5,23, 7, 9,36,3,248,36,0,-2.588190e-01, 9.659258e-01,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.067073171,0,0,0,0,0,0,0,0,1,0, 41
"333","hey guys im 17 years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me:)",0,0,1,0,0,1,0,2015, 4, 8, 0, 9,33,14,2, 98,15,0, 0.000000e+00, 1.000000e+00,4,-4.338837e-01,-0.9009689, 8.660254e-01,-5.000000e-01,1,0.000000000,0,0,0,0,0,1,0,0,0,0, 41
"334","and how many subscribers compared to her over a million",0,0,0,0,1,1,0,2013,11, 4, 1,38, 2,44,4,308,45,0, 2.588190e-01, 9.659258e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 10
"335","everyones back lool this is almost 3 years old and people are still hear! xD",0,0,0,1,0,0,0,2014,11,14,13,16,24,46,4,318,46,0,-2.588190e-01,-9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.016666667,0,0,0,0,0,0,0,0,0,0, 15
"336","Song name??",0,0,0,1,0,0,0,2014,11, 6,18, 7,21,45,4,310,45,0,-1.000000e+00,-1.836910e-16,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.125000000,0,0,0,0,0,0,0,0,0,0,  2
"337","Check out our vids, our songs are awesome! And that I guarantee :)",0,1,0,0,0,1,0,2014, 9, 9,23,55,30,36,3,252,37,0,-2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.060000000,0,1,0,0,0,0,0,0,0,0, 13
"338","If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02",0,1,0,0,0,1,0,2014, 9,20, 0, 5,45,38,3,263,38,1, 0.000000e+00, 1.000000e+00,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.024096386,0,0,0,0,0,0,0,0,1,0, 13
"339","People, here is a new network like FB...you register also free, the difference is only that you get paid for sharing, commenting and liking posts and so one...don't waste your time on fb for sharing and not being paid!! Register here to make also money with your everyday posts!! https://www.tsu.co/slema13 Wellcome to everyone! ;)",0,1,0,0,0,1,0,2014,11, 7,12,16,21,45,4,311,45,0, 1.224606e-16,-1.000000e+00,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,2,0.019762846,1,0,0,0,0,0,0,0,1,0, 54
"340","PLEASE DON&#39;T LIKE THIS COMMENT IF YOU ARE WATCHING IN 2015!!!!!!!!!!!",0,0,1,0,0,1,0,2015, 5, 3, 1,39, 3,18,2,123,18,1, 2.588190e-01, 9.659258e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 11
"341","Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took time in it. /watch?v=telOA6RIO8o",0,0,0,1,0,1,0,2014, 1,19,10,31,10, 3,1, 19, 3,1, 5.000000e-01,-8.660254e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,0.121951220,0,1,0,0,0,0,0,0,0,0, 17
"342","Good times ...",0,0,0,0,1,0,0,2015, 5,20, 1,41,33,20,2,140,21,0, 2.588190e-01, 9.659258e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  3
"343","People Who Say That ""This Song Is Too Old Now, There's No Point Of Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old Too But You Still Listen To Her Right?....",0,0,0,1,0,0,0,2014,11, 7,23,26, 4,45,4,311,45,0,-2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.274074074,0,0,0,0,0,0,0,0,0,0, 37
"344","Check out my mummy chanel!",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.047619048,0,1,0,0,0,0,0,0,0,0,  5
"345","BEAUTIFUL",0,0,0,0,1,0,0,2015, 5,26, 8,11,50,21,2,146,22,0, 8.660254e-01,-5.000000e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  1
